Log Date,Log Time,Platform,CPU Load(%),Total Memory(MB),Used Memory(MB),Used Memory(%),Total Space(MB),Used Space(MB),Used Space(%)
2021-07-13,12:05:07,Windows 10,8,15741,4550,29,487244,97160,20
2021-07-13,12:05:20,Windows 10,1,15741,4547,29,487244,97156,20
2021-07-13,12:12:49,Windows 10,5,15741,3626,23,487244,97152,20
2021-07-13,12:13:03,Windows 10,4,15741,3594,23,487244,97153,20
2021-07-13,13:14:31,Windows 10,4,15741,4489,29,487244,97164,20
2021-07-13,13:14:45,Windows 10,0,15741,4523,29,487244,97164,20
2021-07-13,13:15:58,Windows 10,3,15741,4540,29,487244,97165,20
2021-07-13,13:16:11,Windows 10,3,15741,4554,29,487244,97166,20
2021-07-13,13:19:56,Windows 10,3,15741,4523,29,487244,97160,20
2021-07-13,13:20:15,Windows 10,1,15741,4561,29,487244,97162,20
2021-07-13,13:20:20,Windows 10,4,15741,4547,29,487244,97162,20
2021-07-13,13:20:34,Windows 10,1,15741,4555,29,487244,97163,20
2021-07-13,13:21:16,Windows 10,3,15741,4582,29,487244,97164,20
2021-07-13,13:21:30,Windows 10,0,15741,4593,29,487244,97165,20
2021-07-13,13:25:03,Windows 10,0,15741,4604,29,487244,97169,20
2021-07-13,13:25:16,Windows 10,0,15741,4630,29,487244,97169,20
2021-07-13,13:25:28,Windows 10,0,15741,4612,29,487244,97170,20
2021-07-13,13:25:42,Windows 10,2,15741,4627,29,487244,97170,20
